Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue
2015-09-29,29,September,2015,33,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,221,135,356
2014-05-16,16,May,2014,33,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,15,45,120,1107,675,1782
2016-05-16,16,May,2016,33,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,15,45,120,1107,675,1782
2013-08-18,18,August,2013,25,Young Adults (25-34),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,148,90,238
2015-08-18,18,August,2015,25,Young Adults (25-34),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,221,135,356
2013-09-07,7,September,2013,21,Youth (<25),F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,148,90,238
2015-09-07,7,September,2015,21,Youth (<25),F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,74,45,119
2014-06-11,11,June,2014,37,Adults (35-64),F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,19,45,120,1402,855,2257
2016-06-11,11,June,2016,37,Adults (35-64),F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,17,45,120,1255,765,2020
2014-01-07,7,January,2014,31,Young Adults (25-34),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,29,45,120,2140,1305,3445
2016-01-07,7,January,2016,31,Young Adults (25-34),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,30,45,120,2214,1350,3564
2014-01-16,16,January,2014,41,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,10,45,120,738,450,1188
2016-01-16,16,January,2016,41,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,517,315,832
2014-02-18,18,February,2014,41,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,148,90,238
2016-02-18,18,February,2016,41,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,74,45,119
2013-12-17,17,December,2013,24,Youth (<25),F,Canada,Alberta,Accessories,Bike Racks,Hitch Rack - 4-Bike,4,45,120,300,180,480
2015-12-17,17,December,2015,24,Youth (<25),F,Canada,Alberta,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,450,270,720
2013-08-26,26,August,2013,27,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,590,360,950
2015-08-26,26,August,2015,27,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,443,270,713
2013-08-03,3,August,2013,31,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,10,45,120,738,450,1188
2015-08-03,3,August,2015,31,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,12,45,120,886,540,1426
2014-01-20,20,January,2014,51,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,443,270,713
2016-01-20,20,January,2016,51,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,443,270,713
2013-09-09,9,September,2013,47,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,9,45,120,664,405,1069
2015-09-09,9,September,2015,47,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,11,45,120,812,495,1307
2013-09-28,28,September,2013,45,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,590,360,950
2015-09-28,28,September,2015,45,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,369,225,594
2013-09-02,2,September,2013,33,Young Adults (25-34),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,74,45,119
2015-09-02,2,September,2015,33,Young Adults (25-34),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,148,90,238
2013-09-21,21,September,2013,33,Young Adults (25-34),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,369,225,594
2015-09-21,21,September,2015,33,Young Adults (25-34),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,148,90,238
2014-05-14,14,May,2014,42,Adults (35-64),F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,4,45,120,295,180,475
2016-05-14,14,May,2016,42,Adults (35-64),F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,74,45,119
2013-09-06,6,September,2013,45,Adults (35-64),F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,11,45,120,812,495,1307
2015-09-06,6,September,2015,45,Adults (35-64),F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,590,360,950
2014-06-11,11,June,2014,45,Adults (35-64),F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,26,45,120,1919,1170,3089
2016-06-11,11,June,2016,45,Adults (35-64),F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,27,45,120,1993,1215,3208
2013-11-24,24,November,2013,59,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,443,270,713
2015-11-24,24,November,2015,59,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,590,360,950
2014-02-14,14,February,2014,32,Young Adults (25-34),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,590,360,950
2016-02-14,14,February,2016,32,Young Adults (25-34),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,369,225,594
2014-02-01,1,February,2014,34,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,443,270,713
2016-02-01,1,February,2016,34,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,369,225,594
2014-07-18,18,July,2014,40,Adults (35-64),F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,590,360,950
2016-07-18,18,July,2016,40,Adults (35-64),F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,10,45,120,738,450,1188
2014-04-27,27,April,2014,44,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,369,225,594
2016-04-27,27,April,2016,44,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,517,315,832
2014-04-20,20,April,2014,39,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,148,90,238
2016-04-20,20,April,2016,39,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,74,45,119
2014-03-10,10,March,2014,43,Adults (35-64),F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,369,225,594
2016-03-10,10,March,2016,43,Adults (35-64),F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,443,270,713
2013-12-29,29,December,2013,17,Youth (<25),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,517,315,832
2015-12-29,29,December,2015,17,Youth (<25),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,443,270,713
2014-06-26,26,June,2014,61,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,22,45,120,1624,990,2614
2016-06-26,26,June,2016,61,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,22,45,120,1624,990,2614
2014-03-28,28,March,2014,54,Adults (35-64),F,Canada,Alberta,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,525,315,840
2016-03-28,28,March,2016,54,Adults (35-64),F,Canada,Alberta,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,375,225,600
2014-05-02,2,May,2014,52,Adults (35-64),F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,10,45,120,738,450,1188
2016-05-02,2,May,2016,52,Adults (35-64),F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,9,45,120,664,405,1069
2014-05-13,13,May,2014,42,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,590,360,950
2016-05-13,13,May,2016,42,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,9,45,120,664,405,1069
2013-08-08,8,August,2013,25,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,369,225,594
2015-08-08,8,August,2015,25,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,443,270,713
2013-08-28,28,August,2013,54,Adults (35-64),F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,443,270,713
2015-08-28,28,August,2015,54,Adults (35-64),F,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,443,270,713
2014-04-13,13,April,2014,40,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,369,225,594
2016-04-13,13,April,2016,40,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,148,90,238
2014-04-30,30,April,2014,40,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,443,270,713
2016-04-30,30,April,2016,40,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,369,225,594
2013-08-25,25,August,2013,26,Young Adults (25-34),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,221,135,356
2015-08-25,25,August,2015,26,Young Adults (25-34),M,Canada,British Columbia,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,148,90,238
2014-03-12,12,March,2014,53,Adults (35-64),F,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,1,59,159,98,59,157
2016-03-12,12,March,2016,53,Adults (35-64),F,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,1,59,159,98,59,157
2013-08-11,11,August,2013,50,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,5,59,159,492,295,787
2015-08-11,11,August,2015,50,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,7,59,159,689,413,1102
2014-07-12,12,July,2014,50,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,9,59,159,886,531,1417
2016-07-12,12,July,2016,50,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,9,59,159,886,531,1417
2013-09-05,5,September,2013,47,Adults (35-64),F,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,1,59,159,98,59,157
2015-09-05,5,September,2015,47,Adults (35-64),F,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,2,59,159,197,118,315
2013-11-25,25,November,2013,47,Adults (35-64),F,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,5,59,159,492,295,787
2015-11-25,25,November,2015,47,Adults (35-64),F,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,5,59,159,492,295,787
2014-04-28,28,April,2014,37,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,8,59,159,787,472,1259
2016-04-28,28,April,2016,37,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,5,59,159,492,295,787
2013-09-08,8,September,2013,38,Adults (35-64),F,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,6,59,159,590,354,944
2015-09-08,8,September,2015,38,Adults (35-64),F,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,8,59,159,787,472,1259
2013-12-19,19,December,2013,38,Adults (35-64),F,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,10,59,159,984,590,1574
2015-12-19,19,December,2015,38,Adults (35-64),F,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,11,59,159,1083,649,1732
2013-09-27,27,September,2013,28,Young Adults (25-34),M,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,1,59,159,98,59,157
2015-09-27,27,September,2015,28,Young Adults (25-34),M,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,1,59,159,98,59,157
2014-03-25,25,March,2014,28,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,1,59,159,98,59,157
2016-03-25,25,March,2016,28,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,1,59,159,98,59,157
2014-04-03,3,April,2014,37,Adults (35-64),F,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,2,59,159,197,118,315
2016-04-03,3,April,2016,37,Adults (35-64),F,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,2,59,159,197,118,315
2013-10-19,19,October,2013,26,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,5,59,159,492,295,787
2015-10-19,19,October,2015,26,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,6,59,159,590,354,944
2014-04-15,15,April,2014,33,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,2,59,159,197,118,315
2016-04-15,15,April,2016,33,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,1,59,159,98,59,157
2014-06-03,3,June,2014,41,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,8,59,159,787,472,1259
2016-06-03,3,June,2016,41,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,10,59,159,984,590,1574
2014-04-12,12,April,2014,27,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,1,59,159,98,59,157
2016-04-12,12,April,2016,27,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,3,59,159,295,177,472
2014-01-13,13,January,2014,46,Adults (35-64),F,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,7,59,159,689,413,1102
2016-01-13,13,January,2016,46,Adults (35-64),F,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,7,59,159,689,413,1102
2013-11-21,21,November,2013,30,Young Adults (25-34),M,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,5,59,159,492,295,787
2015-11-21,21,November,2015,30,Young Adults (25-34),M,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,7,59,159,689,413,1102
2013-09-15,15,September,2013,24,Youth (<25),M,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,10,59,159,984,590,1574
2015-09-15,15,September,2015,24,Youth (<25),M,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,10,59,159,984,590,1574
2014-05-04,4,May,2014,40,Adults (35-64),F,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,4,59,159,394,236,630
2016-05-04,4,May,2016,40,Adults (35-64),F,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,3,59,159,295,177,472
2014-05-14,14,May,2014,29,Young Adults (25-34),M,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,6,59,159,590,354,944
2016-05-14,14,May,2016,29,Young Adults (25-34),M,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,8,59,159,787,472,1259
2014-05-27,27,May,2014,50,Adults (35-64),F,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,7,59,159,689,413,1102
2016-05-27,27,May,2016,50,Adults (35-64),F,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,9,59,159,886,531,1417
2014-02-27,27,February,2014,56,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,1,59,159,98,59,157
2016-02-27,27,February,2016,56,Adults (35-64),M,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,1,59,159,98,59,157
2013-12-23,23,December,2013,35,Adults (35-64),F,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,2,59,159,197,118,315
2015-12-23,23,December,2015,35,Adults (35-64),F,Canada,British Columbia,Accessories,Bike Stands,All-Purpose Bike Stand,1,59,159,98,59,157
2014-04-20,20,April,2014,65,Seniors (64+),M,Canada,British Columbia,Accessories,Bottles and Cages,Mountain Bottle Cage,27,4,10,159,108,267
2014-04-20,20,April,2014,65,Seniors (64+),M,Canada,British Columbia,Accessories,Bottles and Cages,Mountain Bottle Cage,27,4,10,159,108,267
2016-04-20,20,April,2016,65,Seniors (64+),M,Canada,British Columbia,Accessories,Bottles and Cages,Mountain Bottle Cage,27,4,10,159,108,267
2016-04-20,20,April,2016,65,Seniors (64+),M,Canada,British Columbia,Accessories,Bottles and Cages,Mountain Bottle Cage,24,4,10,142,96,238
2014-06-27,27,June,2014,65,Seniors (64+),M,Canada,British Columbia,Accessories,Bottles and Cages,Mountain Bottle Cage,18,4,10,106,72,178
2016-06-27,27,June,2016,65,Seniors (64+),M,Canada,British Columbia,Accessories,Bottles and Cages,Mountain Bottle Cage,20,4,10,118,80,198
2014-07-09,9,July,2014,65,Seniors (64+),M,Canada,British Columbia,Accessories,Bottles and Cages,Mountain Bottle Cage,23,4,10,136,92,228
2014-07-09,9,July,2014,65,Seniors (64+),M,Canada,British Columbia,Accessories,Bottles and Cages,Mountain Bottle Cage,6,4,10,35,24,59
2016-07-09,9,July,2016,65,Seniors (64+),M,Canada,British Columbia,Accessories,Bottles and Cages,Mountain Bottle Cage,24,4,10,142,96,238
2016-07-09,9,July,2016,65,Seniors (64+),M,Canada,British Columbia,Accessories,Bottles and Cages,Mountain Bottle Cage,3,4,10,18,12,30
2014-07-26,26,July,2014,65,Seniors (64+),M,Canada,British Columbia,Accessories,Bottles and Cages,Mountain Bottle Cage,20,4,10,118,80,198
2014-07-26,26,July,2014,65,Seniors (64+),M,Canada,British Columbia,Accessories,Bottles and Cages,Mountain Bottle Cage,20,4,10,118,80,198
2016-07-26,26,July,2016,65,Seniors (64+),M,Canada,British Columbia,Accessories,Bottles and Cages,Mountain Bottle Cage,20,4,10,118,80,198
2016-07-26,26,July,2016,65,Seniors (64+),M,Canada,British Columbia,Accessories,Bottles and Cages,Mountain Bottle Cage,18,4,10,106,72,178
2013-08-11,11,August,2013,29,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,30,2,5,89,60,149
2015-08-11,11,August,2015,29,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,29,2,5,86,58,144
2013-09-07,7,September,2013,29,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,21,2,5,62,42,104
2015-09-07,7,September,2015,29,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,19,2,5,56,38,94
2013-10-02,2,October,2013,29,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,16,2,5,47,32,79
2013-10-02,2,October,2013,29,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,2,2,5,6,4,10
2015-10-02,2,October,2015,29,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,13,2,5,38,26,64
2015-10-02,2,October,2015,29,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,1,2,5,3,2,5
2013-11-29,29,November,2013,29,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,16,2,5,47,32,79
2013-11-29,29,November,2013,29,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,1,2,5,3,2,5
2015-11-29,29,November,2015,29,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,15,2,5,44,30,74
2015-11-29,29,November,2015,29,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,3,2,5,9,6,15
2014-05-01,1,May,2014,29,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,7,2,5,21,14,35
2016-05-01,1,May,2016,29,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,9,2,5,27,18,45
2014-06-05,5,June,2014,29,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,18,2,5,53,36,89
2014-06-05,5,June,2014,29,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,5,2,5,15,10,25
2016-06-05,5,June,2016,29,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,20,2,5,59,40,99
2016-06-05,5,June,2016,29,Young Adults (25-34),F,Canada,British Columbia,Accessories,Bottles and Cages,Water Bottle - 30 oz.,5,2,5,15,10,25
